date,open,low,high,close,adj_close,volume
2001-07-25,117.92,117.46,119.48,119.1,78.96,12088500
2001-07-26,119.06,118.56,120.85,120.35,79.79,12898200
2001-07-27,120.83,119.91,121.35,120.81,80.09,8478800
2001-07-30,121.19,120.3,121.35,120.85,80.12,8547700
2001-07-31,121.0,120.8,122.68,121.35,80.45,11918100
2001-08-01,121.97,121.55,122.7,122.11,80.96,11940800
2001-08-02,123.23,121.89,123.25,122.61,81.29,11070100
2001-08-03,122.36,120.9,122.36,121.94,80.84,10816300
2001-08-06,121.35,120.1,121.51,120.3,79.76,8550100
2001-08-07,120.27,119.91,121.2,120.77,80.07,8865100
2001-08-08,120.12,118.43,121.16,118.53,78.58,15183800
2001-08-09,118.7,117.86,118.97,118.88,78.81,14118500
2001-08-10,118.8,117.34,119.84,119.29,79.09,11173300
2001-08-13,119.6,118.81,119.85,119.32,79.11,7431600
2001-08-14,120.14,118.8,120.35,119.27,79.07,13178100
2001-08-15,119.23,118.08,119.61,118.24,78.39,8520600
2001-08-16,117.8,117.0,118.75,118.65,78.66,10734700
2001-08-17,117.65,116.01,117.87,116.75,77.4,11604600
2001-08-20,116.8,116.55,117.9,117.83,78.12,10417400
2001-08-21,117.8,115.8,118.54,115.82,76.79,14480800
2001-08-22,116.75,115.78,117.43,117.02,77.58,11752300
2001-08-23,116.96,116.49,117.52,116.6,77.3,8744100
2001-08-24,117.21,116.74,119.13,119.02,78.91,11687700
2001-08-27,118.97,118.26,119.2,118.31,78.44,7425100
2001-08-28,118.28,116.58,118.49,116.58,77.29,12046600
2001-08-29,117.13,115.17,117.18,115.54,76.6,16180000
2001-08-30,114.85,112.04,115.74,113.32,75.13,17692600
2001-08-31,113.4,113.13,114.77,114.15,75.68,15985400
2001-09-04,113.85,113.37,116.17,113.42,75.19,24473400
2001-09-05,113.7,111.95,114.19,113.7,75.38,21477100
2001-09-06,112.65,110.77,113.3,110.77,73.44,21653000
2001-09-07,110.02,108.63,111.25,108.72,72.08,33133900
2001-09-10,107.7,107.7,110.35,110.05,72.96,23408700
2001-09-17,101.0,100.0,106.4,104.3,69.15,32388700
2001-09-18,104.33,103.36,105.3,104.05,68.98,22029200
2001-09-19,104.1,98.56,104.5,101.95,67.59,42771800
2001-09-20,100.4,98.56,101.81,98.71,65.44,36210900
2001-09-21,94.28,93.8,98.99,97.28,64.74,49782100
2001-09-24,99.72,99.06,101.16,100.7,67.01,25549600
2001-09-25,100.75,99.9,102.0,101.75,67.71,25466200
2001-09-26,102.35,100.43,102.4,101.39,67.47,18587500
2001-09-27,101.25,100.0,102.29,102.27,68.06,20536800
2001-09-28,102.98,102.5,109.62,104.44,69.5,21687200
2001-10-01,103.9,102.83,104.32,104.27,69.39,20457400
2001-10-02,104.0,103.65,105.58,105.58,70.26,19833100
2001-10-03,104.6,104.35,107.88,107.35,71.44,32045800
2001-10-04,108.29,106.75,108.97,107.44,71.5,32674100
2001-10-05,107.25,105.52,107.62,107.23,71.36,29796100
2001-10-08,106.27,105.87,107.3,106.53,70.89,12970300
2001-10-09,106.61,105.6,106.75,105.96,70.52,15976300
2001-10-10,105.8,105.52,108.55,108.32,72.09,19987400
2001-10-11,108.95,108.95,110.3,110.0,73.2,23006300
2001-10-12,109.15,107.3,109.89,109.5,72.87,31360500
2001-10-15,108.63,108.06,109.45,109.3,72.74,16873000
2001-10-16,109.8,108.95,110.61,109.99,73.2,15877100
